,name,document_frequency
346,fxam,1427
347,movntps,1231
348,cmovs,1645
349,fptan,1190
350,xacquire,1454
351,fnop,1161
352,fsqrt,1477
353,pushaw,1383
354,feni8087_nop,1110
355,lidt,361
356,pushf,1182
357,packssdw,1241
358,lldt,1824
359,cmova,1547
360,psubsw,1227
361,ud2b,1043
362,movhlps,450
363,pmullw,1160
364,fpatan,1327
365,fucompp,1465
366,vpshad,6
367,punpcklwd,1454
368,movntpd,9
369,psrlw,1219
370,cpuid,1865
371,xbegin,1231
372,vunpcklps,125
373,vandps,130
374,emms,1337
375,fyl2xp1,1083
376,syscall,1538
377,lfs,1084
378,fldl2t,1078
379,unpckhps,1475
380,minps,1150
381,punpckldq,1286
382,punpckhdq,1433
383,movlps,2026
384,fscale,1602
385,comiss,1436
386,vpcmpeqd,103
387,sysenter,1376
388,vmovhpd,52
389,paddd,1377
390,cmpxchg,1869
391,fldln2,1273
392,psrad,1153
393,psubusw,1146
394,fdisi8087_nop,1080
395,vdivsd,121
396,psrlq,1401
397,pmaddwd,1140
398,psubsb,1336
399,vhsubpd,89
400,vcvtss2sd,56
401,vsqrtsd,93
402,ud0,1949
403,movhps,1883
404,pminsw,1157
405,sqrtps,1332
406,vcmpps,114
407,vminsd,95
408,vaddsubps,144
409,movnti,1102
410,pavgw,1165
411,fldl2e,1291
412,bsf,1540
413,vaddsubpd,112
414,pause,1202
415,fxtract,960
416,movhpd,12
417,fsin,1568
418,ltr,1459
419,vpandn,88
420,paddusb,1123
421,vaddps,115
422,fldlg2,1235
423,vcvtps2pd,14
424,vpmuludq,107
425,vpunpckhbw,169
426,pxor,1750
427,lar,1831
428,vmovdqa,29
429,sha1rnds4,15
430,unpcklps,1489
431,vpmullw,95
432,vpor,115
433,prefetchnta,513
434,vpmacsww,15
435,cmovl,1545
436,lgdt,444
437,pmulhuw,1164
438,pmovmskb,480
439,clac,12
440,vandnps,165
441,stmxcsr,543
442,lzcnt,4
443,vpsubd,109
444,vshufpd,132
445,vpsubusw,100
446,vpcmpeqb,104
447,vhaddpd,104
448,xsaveopt,175
449,xcryptcfb,18
450,pfrsqit1,23
451,verr,1647
452,vpshufd,21
453,vcmpss,121
454,pextrw,527
455,vpunpckhdq,107
456,vandpd,135
457,vmaxps,84
