,name,document_frequency
377,fldl2t,55
378,unpckhps,83
379,minps,71
380,punpckldq,61
381,punpckhdq,79
382,movlps,104
383,fscale,74
384,comiss,84
385,vpcmpeqd,4
386,sysenter,71
387,vmovhpd,4
388,paddd,85
389,cmpxchg,96
390,fldln2,88
391,psrad,59
392,psubusw,65
393,fdisi8087_nop,71
394,vdivsd,9
395,psrlq,64
396,pmaddwd,68
397,psubsb,72
398,vhsubpd,8
399,vcvtss2sd,7
400,vsqrtsd,8
401,ud0,172
402,movhps,101
403,pminsw,70
404,sqrtps,81
405,vcmpps,10
406,vminsd,10
407,vaddsubps,15
408,movnti,60
409,pavgw,61
410,fldl2e,76
411,getsec,73
412,bsf,71
413,vaddsubpd,8
414,pause,62
415,fxtract,71
416,movhpd,1
417,fsin,103
418,ltr,54
419,unpcklps,97
420,vpmullw,10
421,vpor,9
422,prefetchnta,23
423,vpmacsww,1
424,lar,116
425,cmovl,99
426,lgdt,15
427,pmulhuw,71
428,pxor,68
429,pmovmskb,31
430,clac,1
431,vandnps,10
432,stmxcsr,11
433,lzcnt,1
434,vpsubd,6
435,paddusb,66
436,vshufpd,10
437,vpsubusw,15
438,vpcmpeqb,10
439,vhaddpd,12
440,xsaveopt,12
441,xcryptcfb,4
442,pfrsqit1,1
443,verr,58
444,vpshufd,1
445,vcmpss,5
446,pextrw,20
447,vpunpckhdq,3
448,vandpd,9
449,vmaxps,9
450,vpsllw,9
451,vorps,14
452,xsaves,8
453,vmovapd,1
454,xsave,13
455,vpslld,11
456,vpcmpgtd,6
457,lmsw,14
458,vpsubq,10
459,fldlg2,75
460,vcvtsi2sd,10
461,vgatherdps,1
462,vmptrld,8
463,vcmpfalsepd,1
464,vdivpd,8
465,prefetcht1,14
466,vxorpd,10
467,prefetchw,26
468,xrstors,13
469,comisd,2
470,cvtss2sd,1
471,movlhps,24
472,vminss,6
473,vaddps,17
474,vorpd,8
475,sidt,52
476,vmaxpd,7
477,vpunpckhqdq,6
478,vpsraw,10
479,vminpd,10
480,pf2iw,2
481,pi2fw,4
482,vpinsrw,8
483,vpcmpgtw,6
484,vdivps,9
485,vpcomuq,2
486,vpavgb,7
487,vpaddw,6
488,vpshuflw,2
489,vpaddb,7
490,vpsubsw,2
491,vpmaddwd,10
492,vpsubsb,7
493,sgdt,36
494,vmovupd,2
495,vpackssdw,4
496,vpcmpgtb,8
497,vpsrlq,5
498,vpaddusb,9
499,vminps,7
500,vmaxsd,12
501,vcvtsd2ss,9
502,cmpxchg8b,8
503,vaddsd,14
504,vmovss,8
505,vmxoff,3
506,vpsadbw,11
507,kandnw,4
508,vaddss,10
509,vdivss,8
510,vsubsd,12
511,prefetcht2,15
512,clflush,14
513,invlpg,13
514,vpsrld,8
515,vrcpss,6
516,addss,1
517,fxrstor,7
518,vmaxss,7
519,vandnpd,10
520,vfnmadd132ps,1
521,pshufhw,2
522,vpunpckhwd,5
523,vmovsd,5
524,xsha256,1
525,vpsrad,10
526,smsw,13
527,vmovlps,4
528,vmovhps,2
529,vpackuswb,4
530,cmpneqps,1
531,vpaddd,9
532,vpaddq,12
533,vpaddusw,10
534,xsavec,14
535,kxorw,2
536,vaddpd,9
537,vpmacssdqh,3
538,vmulpd,6
539,ldmxcsr,20
540,vpunpcklbw,10
541,vpacksswb,11
542,pavgusb,1
543,vpavgw,5
544,vpcmpeqw,7
545,vhsubps,4
546,vpsrlw,2
547,vpmaxsw,7
548,vcvtss2si,1
549,vpmulhuw,10
550,vpmulhw,13
551,vunpckhps,7
552,vucomisd,3
553,vpunpckldq,5
554,vsqrtss,6
555,vpaddsw,5
556,vpand,9
557,kortestw,1
558,vpunpckhbw,9
559,vpunpcklqdq,7
560,vpcmov,2
561,vpmacssdql,1
562,movdqa,6
563,vcvttss2si,2
564,rdtscp,2
565,cvtsd2si,2
566,phaddsw,6
567,movdqu,1
568,monitor,1
569,vpunpcklwd,4
570,vxorps,6
571,unpckhpd,3
572,vpbroadcastb,1
573,mulpd,2
574,vcmppd,9
575,vmlaunch,1
576,vpmacsdqh,1
577,vcvtdq2pd,2
578,vmovntdq,1
579,vpsllq,10
580,vpaddsb,5
581,vcvtpd2dq,1
582,vmaskmovdqu,1
583,vpmaxub,6
584,vphaddbw,1
585,korw,1
586,vrsqrtps,2
587,vfmadd213pd,1
588,vpminuw,1
589,vcmpsd,9
590,vhaddps,4
591,vpsubusb,7
592,vcvttps2dq,2
593,vsubss,7
594,kandb,1
595,addsubpd,1
596,vpminub,8
597,vpsubw,3
598,vfnmsubpd,1
599,sqrtss,1
600,vpblendw,1
601,vshufps,5
602,vmulss,6
603,vcvtsi2ss,8
604,vmovdqa,3
605,vpcomw,1
606,vsqrtpd,2
607,vfnmsub213ss,1
608,pmaddubsw,2
609,vpcomq,1
610,vmulsd,4
611,vunpcklpd,5
612,hsubpd,1
