,name,document_frequency
362,movhlps,108
363,pmullw,254
364,fpatan,404
365,fucompp,640
366,vpshad,2
367,punpcklwd,399
368,movntpd,2
369,psrlw,287
370,cpuid,873
371,xbegin,234
372,vunpcklps,31
373,vandps,26
374,emms,364
375,fyl2xp1,246
376,syscall,377
377,lfs,190
378,fldl2t,219
379,unpckhps,350
380,minps,246
381,punpckldq,381
382,punpckhdq,344
383,movlps,527
384,fscale,533
385,comiss,326
386,vpcmpeqd,25
387,sysenter,249
388,vmovhpd,12
389,paddd,371
390,cmpxchg,349
391,fldln2,493
392,psrad,242
393,psubusw,248
394,fdisi8087_nop,241
395,vdivsd,32
396,psrlq,425
397,pmaddwd,254
398,psubsb,278
399,vhsubpd,22
400,vcvtss2sd,17
401,vsqrtsd,37
402,ud0,615
403,movhps,490
404,pminsw,258
405,sqrtps,306
406,vcmpps,36
407,vminsd,30
408,vaddsubps,41
409,movnti,223
410,pavgw,233
411,fldl2e,455
412,bsf,473
413,vaddsubpd,33
414,pause,330
415,fxtract,203
416,movhpd,10
417,fsin,568
418,ltr,267
419,vpandn,19
420,paddusb,263
421,vaddps,34
422,fldlg2,386
423,vcvtps2pd,7
424,vpmuludq,36
425,vpunpckhbw,24
426,pxor,702
427,lar,527
428,vmovdqa,12
429,sha1rnds4,7
430,unpcklps,356
431,vpmullw,32
432,vpor,43
433,prefetchnta,149
434,vpmacsww,3
435,cmovl,479
436,lgdt,89
437,pmulhuw,245
438,pmovmskb,246
439,clac,5
440,vandnps,35
441,stmxcsr,329
442,lzcnt,3
443,vpsubd,20
444,vshufpd,48
445,vpsubusw,45
446,vpcmpeqb,49
447,vhaddpd,23
448,xsaveopt,31
449,xcryptcfb,12
450,pfrsqit1,12
451,verr,302
452,vpshufd,6
453,vcmpss,37
454,pextrw,203
455,vpunpckhdq,24
456,vandpd,34
457,vmaxps,27
458,vpsllw,21
459,vorps,28
460,xsaves,31
461,vmovapd,6
462,xsave,34
463,vpslld,34
464,vpcmpgtd,20
465,lmsw,81
466,vpsubq,31
467,vcvtsi2sd,28
468,vgatherdps,1
469,vmptrld,39
470,vcmpfalsepd,1
471,vdivpd,24
472,prefetcht1,64
473,vxorpd,29
474,prefetchw,200
475,xrstors,39
476,comisd,65
477,cvtss2sd,43
478,movlhps,188
479,vminss,19
480,vorpd,30
481,sidt,177
482,vmaxpd,24
483,vpunpckhqdq,23
484,vpsraw,34
485,vminpd,25
486,pf2iw,16
487,pi2fw,68
488,vpinsrw,19
489,vpcmpgtw,27
490,vdivps,23
491,vpcomuq,4
492,vpavgb,28
493,vpaddw,33
494,vpshuflw,5
495,vpaddb,28
496,vpsubsw,22
497,vpmaddwd,39
498,vpsubsb,26
499,sgdt,350
500,vmovupd,4
501,vpackssdw,28
502,vpcmpgtb,19
503,vpsrlq,30
504,vunpckhpd,21
505,vpaddusb,25
506,vminps,26
507,vmaxsd,33
508,vcvtsd2ss,27
509,cmpxchg8b,36
510,vaddsd,28
511,vpsadbw,35
512,vrcpss,24
513,vmovss,17
514,vmxoff,4
515,kandnw,7
516,vaddss,29
517,vdivss,20
518,vsubsd,36
519,prefetcht2,72
520,clflush,38
521,invlpg,99
522,vpsrld,35
523,vpaddd,49
524,vpmacssdqh,17
525,vunpcklpd,21
526,vpminub,27
527,addss,39
528,fxrstor,35
529,vmaxss,25
530,vandnpd,31
531,vfnmadd132ps,2
532,pshufhw,22
533,vpunpckhwd,23
534,vmovsd,16
535,xsha256,6
536,vpsrad,32
537,smsw,76
538,vmovlps,4
539,vmovhps,8
540,vpackuswb,24
541,cmpneqps,7
542,vpaddq,32
543,vpaddusw,33
544,xsavec,26
545,kxorw,4
546,vaddpd,24
547,vmulpd,21
548,ldmxcsr,298
549,vpunpcklbw,32
550,vpmacssdd,4
551,vpacksswb,38
552,pavgusb,16
553,vpavgw,26
554,vpcmpeqw,50
555,vhsubps,19
556,vpsrlw,32
557,vpmaxsw,26
558,vcvtss2si,4
559,vpmulhuw,29
560,vpmulhw,35
561,vunpckhps,26
562,vucomisd,5
563,vpunpckldq,27
564,vsqrtss,32
565,vpaddsw,22
566,vpand,37
567,kortestw,1
568,vpunpcklqdq,31
569,vpcmov,5
570,vpmacssdql,4
571,vpsubw,33
572,vcvttsd2si,9
573,vxorps,64
574,movdqa,427
575,vcvttss2si,6
576,rdtscp,6
577,cvtsd2si,100
